Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1175,Quest for Skies 3,PS,2006.0,Shooter,Electronic Arts,0.1,0.12,0.0,0.03,0.25
1176,Empires Rebellion 3,XB,2002.0,Role-Playing,Sony Computer Entertainment,0.06,0.04,0.14,0.01,0.25
1177,Destiny Fury,XOne,2020.0,Sports,Konami Digital Entertainment,0.1,0.09,0.04,0.02,0.25
1178,Call of Fairways,GBA,2005.0,Platform,2K Games,0.15,0.06,0.01,0.03,0.25
1179,Call of Shadows Gold Edition,Wii,2014.0,Action,Ubisoft,0.11,0.08,0.05,0.01,0.25
1180,Fall of Honor: Reborn,3DS,2011.0,Fighting,Nintendo,0.08,0.07,0.04,0.06,0.25
1181,Quest for Gridiron,DS,2012.0,Strategy,Square Enix,0.09,0.07,0.03,0.06,0.25
1182,Kingdom of Destiny 2,Wii,2016.0,Puzzle,Sony Computer Entertainment,0.1,0.09,0.05,0.01,0.25
1183,Rebellion Arena III,PS3,2013.0,Role-Playing,CD Projekt,0.05,0.04,0.12,0.04,0.25
1184,Battle for Arena III,GC,2012.0,Misc,Capcom,0.12,0.08,0.02,0.03,0.25
1185,Saga of Honor 2,PS3,2012.0,Racing,THQ,0.13,0.09,0.0,0.03,0.25
1186,Kingdom of Legends,PS2,2004.0,Misc,Nintendo,0.12,0.07,0.04,0.02,0.25
1187,Rise of Champions: Remastered,XOne,2017.0,Platform,CD Projekt,0.09,0.08,0.05,0.03,0.25
1188,Tales of Arena,DS,2004.0,Action,2K Games,0.04,0.14,0.05,0.02,0.25
1189,Chronicles of Empires,X360,2016.0,Puzzle,Namco Bandai Games,0.15,0.05,0.02,0.03,0.25
1190,Quest for Legends,XB,2004.0,Platform,Epic Games,0.08,0.07,0.07,0.03,0.25
1191,Shadow of Heroes,PS2,2008.0,Sports,Warner Bros. Interactive,0.1,0.08,0.04,0.03,0.25
1192,Fall of Titans II,PS3,2011.0,Misc,Microsoft Game Studios,0.08,0.11,0.02,0.04,0.25
1193,Empires Titans,PS,2008.0,Fighting,Konami Digital Entertainment,0.1,0.06,0.07,0.02,0.25
1194,Empire of Rebellion Gold Edition,GC,2005.0,Action,Namco Bandai Games,0.09,0.11,0.03,0.02,0.25
1195,Realm of Glory,XB,2004.0,Racing,CD Projekt,0.13,0.06,0.03,0.03,0.25
1196,Arena Odyssey: Next Gen,SNES,1995.0,Racing,Namco Bandai Games,0.14,0.09,0.01,0.01,0.25
1197,Empire of Dragons,PS,1999.0,Role-Playing,Bethesda Softworks,0.06,0.04,0.12,0.03,0.25
1198,Tales of Champions: Origins,PSP,2006.0,Shooter,Sega,0.06,0.13,0.01,0.05,0.25
1199,Valor Fury: Origins,SNES,2006.0,Sports,Nintendo,0.1,0.1,0.01,0.04,0.25
1200,Empires Depths: Reborn,PS3,2010.0,Role-Playing,Electronic Arts,0.04,0.05,0.15,0.01,0.25
1201,Quest for Conquest 3,XOne,2013.0,Strategy,Namco Bandai Games,0.14,0.08,0.02,0.01,0.25
1202,Empire of Warriors 2,PSP,2005.0,Adventure,Sony Computer Entertainment,0.11,0.09,0.03,0.02,0.25
1203,Rebellion Rebellion: Reborn,PS2,2007.0,Puzzle,Konami Digital Entertainment,0.06,0.14,0.04,0.01,0.25
1204,Saga of Racing Stars: Origins,Switch,2017.0,Fighting,Namco Bandai Games,0.15,0.04,0.02,0.04,0.25
1205,Honor Odyssey,Wii,2016.0,Simulation,Microsoft Game Studios,0.15,0.06,0.03,0.01,0.25
1206,Glory Nations,XOne,2018.0,Puzzle,Microsoft Game Studios,0.12,0.04,0.06,0.03,0.25
1207,World of Conquest II,N64,2008.0,Misc,Ubisoft,0.12,0.08,0.02,0.03,0.25
1208,Storm Destiny 3,PS4,2013.0,Fighting,Activision,0.12,0.07,0.04,0.02,0.25
1209,Tales of Duty: Reborn,GC,2013.0,Racing,Take-Two Interactive,0.13,0.08,0.01,0.03,0.25
1210,Skies Depths,PSV,2014.0,Shooter,Activision,0.15,0.04,0.01,0.05,0.25
1211,Quest for Honor Gold Edition,PSV,2012.0,Puzzle,CD Projekt,0.15,0.07,0.01,0.02,0.25
1212,Empires Titans,PS4,2019.0,Platform,2K Games,0.12,0.03,0.05,0.05,0.25
1213,Rebellion Dragons 2,PS4,2018.0,Puzzle,2K Games,0.09,0.1,0.03,0.03,0.25
1214,Storm Shadows 2,DS,2009.0,Strategy,Capcom,0.12,0.05,0.05,0.02,0.24
1215,Legend of Shadows II,SNES,2000.0,Action,Disney Interactive Studios,0.06,0.09,0.05,0.04,0.24
1216,Call of Fairways: Next Gen,GC,2002.0,Sports,Electronic Arts,0.15,0.05,0.01,0.03,0.24
1217,Titans Fury,3DS,2020.0,Platform,Namco Bandai Games,0.1,0.07,0.02,0.05,0.24
1218,Fury Champions III,PS3,2006.0,Adventure,Take-Two Interactive,0.14,0.07,0.02,0.01,0.24
1219,Empires Nations: Revolution,GC,2013.0,Shooter,2K Games,0.11,0.07,0.01,0.05,0.24
1220,Realm of Fury 2,PS3,2011.0,Simulation,Epic Games,0.09,0.06,0.07,0.02,0.24
1221,Gridiron Glory: Remastered,PSP,2009.0,Racing,Take-Two Interactive,0.14,0.05,0.02,0.03,0.24
1222,Titans Heroes: Reborn,GBA,2005.0,Racing,Disney Interactive Studios,0.14,0.05,0.01,0.04,0.24
1223,Chronicles of Racing Stars,PS2,2000.0,Puzzle,Namco Bandai Games,0.12,0.07,0.03,0.02,0.24
1224,Shadow of Titans,PS2,2002.0,Adventure,Sony Computer Entertainment,0.08,0.09,0.04,0.03,0.24
1225,Fall of Destiny,PSP,2008.0,Sports,Activision,0.15,0.04,0.0,0.05,0.24
1226,Kingdom of Honor,PSV,2017.0,Action,Atari,0.09,0.09,0.01,0.05,0.24
1227,Depths Arena,Wii,2013.0,Sports,Konami Digital Entertainment,0.05,0.17,0.0,0.02,0.24
1228,Empire of Gridiron: Reborn,GBA,2003.0,Role-Playing,Bethesda Softworks,0.04,0.03,0.12,0.05,0.24
1229,Honor Odyssey,Wii,2016.0,Shooter,Namco Bandai Games,0.08,0.14,0.0,0.02,0.24
1230,Shadow of Valor III,XB,2006.0,Misc,THQ,0.13,0.06,0.03,0.02,0.24
1231,Tales of Glory III,Wii,2013.0,Shooter,Warner Bros. Interactive,0.14,0.06,0.0,0.04,0.24
1232,Battle for Gridiron: Reborn,PS4,2013.0,Puzzle,Capcom,0.09,0.09,0.03,0.03,0.24
1233,Saga of Empires: Reborn,PS4,2019.0,Action,Square Enix,0.1,0.09,0.03,0.02,0.24
1234,World of Heroes: Next Gen,GC,2006.0,Strategy,Capcom,0.1,0.07,0.03,0.04,0.24
1235,Shadow of Nations: Revolution,Switch,2017.0,Action,Ubisoft,0.02,0.14,0.03,0.05,0.24
1236,Empire of Honor,Wii,2012.0,Fighting,Take-Two Interactive,0.11,0.09,0.02,0.02,0.24
1237,Empires Honor 2,DS,2007.0,Action,Capcom,0.12,0.08,0.02,0.02,0.24
1238,Empire of Warriors III,PS,2001.0,Racing,Bethesda Softworks,0.13,0.09,0.01,0.01,0.24
1239,Nations Heroes II,WiiU,2014.0,Fighting,THQ,0.11,0.05,0.01,0.07,0.24
1240,Skies Gridiron,Wii,2016.0,Action,Microsoft Game Studios,0.08,0.11,0.04,0.01,0.24
1241,Fairways Titans Gold Edition,PS4,2015.0,Role-Playing,Bethesda Softworks,0.09,0.06,0.07,0.02,0.24
1242,Battle for Storm,SNES,2006.0,Platform,Ubisoft,0.07,0.11,0.03,0.03,0.24
1243,Battle for Warriors,PC,2001.0,Sports,Disney Interactive Studios,0.14,0.06,0.01,0.03,0.24
1244,Valor Legends: Revolution,Wii,2006.0,Puzzle,Warner Bros. Interactive,0.09,0.1,0.02,0.03,0.24
1245,Legends Nations,Switch,2017.0,Platform,2K Games,0.08,0.1,0.01,0.05,0.24
1246,Heroes Storm,3DS,2017.0,Sports,Microsoft Game Studios,0.15,0.05,0.0,0.04,0.24
1247,Saga of Gridiron: Revolution,Wii,2011.0,Misc,Take-Two Interactive,0.08,0.1,0.01,0.05,0.24
1248,Legends Frontier 2,PC,1999.0,Simulation,Warner Bros. Interactive,0.16,0.05,0.02,0.01,0.24
1249,Odyssey Heroes 3,PS3,2006.0,Puzzle,Warner Bros. Interactive,0.09,0.09,0.04,0.02,0.24
1250,Shadow of Dragons: Origins,GC,2012.0,Action,Bethesda Softworks,0.13,0.07,0.02,0.02,0.24
1251,Tales of Conquest: Remastered,DS,2010.0,Simulation,Sega,0.09,0.08,0.06,0.01,0.24
1252,Fall of Empires 2,3DS,2014.0,Sports,Konami Digital Entertainment,0.11,0.07,0.02,0.04,0.24
1253,Valor Honor 3,PC,1995.0,Racing,Konami Digital Entertainment,0.12,0.09,0.02,0.01,0.24
1254,Arena Champions 2,PS4,2015.0,Puzzle,Nintendo,0.06,0.13,0.04,0.01,0.24
1255,World of Heroes: Revolution,N64,2003.0,Strategy,2K Games,0.12,0.05,0.06,0.01,0.24
1256,Arena Fury: Remastered,XOne,2014.0,Action,2K Games,0.11,0.06,0.06,0.01,0.24
1257,World of Storm: Next Gen,WiiU,2013.0,Sports,Electronic Arts,0.1,0.09,0.01,0.04,0.24
1258,Arena Empires III,PSP,2011.0,Platform,Sony Computer Entertainment,0.12,0.06,0.04,0.02,0.24
1259,Age of Storm III,PS3,2012.0,Fighting,Namco Bandai Games,0.13,0.05,0.05,0.01,0.24
1260,Call of Heroes Gold Edition,DS,2013.0,Shooter,Microsoft Game Studios,0.08,0.11,0.03,0.02,0.24
1261,Titans Legends II,GBA,2008.0,Role-Playing,Bethesda Softworks,0.06,0.04,0.11,0.03,0.24
1262,Quest for Fury Gold Edition,PC,2002.0,Adventure,Sony Computer Entertainment,0.13,0.05,0.05,0.01,0.24
1263,Chronicles of Skies Gold Edition,DS,2012.0,Puzzle,Microsoft Game Studios,0.07,0.09,0.04,0.04,0.24
1264,Kingdom of Empires III,PS3,2009.0,Sports,THQ,0.13,0.08,0.0,0.03,0.24
1265,Duty Champions,PC,1996.0,Misc,2K Games,0.07,0.1,0.05,0.02,0.24
1266,Arena Gridiron 3,PS3,2012.0,Fighting,Capcom,0.11,0.1,0.02,0.01,0.24
1267,Shadow of Honor: Revolution,GB,1999.0,Adventure,Capcom,0.1,0.06,0.04,0.03,0.23
1268,Rise of Glory,PS3,2010.0,Action,THQ,0.09,0.04,0.02,0.08,0.23
1269,Shadow of Honor II,PC,2001.0,Shooter,Disney Interactive Studios,0.15,0.05,0.0,0.03,0.23
1270,Legends Shadows Gold Edition,N64,2001.0,Sports,2K Games,0.12,0.06,0.01,0.04,0.23
1271,Rise of Frontier Gold Edition,GB,2006.0,Adventure,Square Enix,0.08,0.05,0.06,0.04,0.23
1272,Gridiron Arena: Reborn,PS2,2002.0,Role-Playing,Sony Computer Entertainment,0.08,0.05,0.04,0.06,0.23
1273,Glory Titans III,PS3,2009.0,Misc,THQ,0.09,0.07,0.04,0.03,0.23
1274,Empire of Dragons II,Wii,2013.0,Adventure,CD Projekt,0.02,0.12,0.06,0.03,0.23
1275,Realm of Frontier 2,Switch,2018.0,Racing,Atari,0.12,0.08,0.0,0.03,0.23
1276,Nations Racing Stars II,N64,2006.0,Action,Bethesda Softworks,0.13,0.06,0.01,0.03,0.23
1277,Valor Heroes: Next Gen,XOne,2016.0,Racing,2K Games,0.09,0.04,0.02,0.08,0.23
1278,Arena Skies,PSV,2020.0,Shooter,Sony Computer Entertainment,0.07,0.09,0.01,0.06,0.23
1279,Racing Stars Warriors Gold Edition,PC,2001.0,Sports,Microsoft Game Studios,0.09,0.07,0.01,0.06,0.23
1280,Empire of Heroes,N64,2006.0,Shooter,Ubisoft,0.12,0.06,0.04,0.01,0.23
1281,Dragons Arena Gold Edition,SNES,2003.0,Fighting,Activision,0.12,0.07,0.01,0.03,0.23
1282,Rise of Empires: Next Gen,SNES,2004.0,Action,THQ,0.12,0.05,0.03,0.03,0.23
1283,Legends Warriors,SNES,2002.0,Action,Microsoft Game Studios,0.09,0.05,0.02,0.07,0.23
1284,Destiny Racing Stars: Remastered,DS,2004.0,Puzzle,Warner Bros. Interactive,0.1,0.07,0.04,0.02,0.23
1285,Odyssey Champions II,PSV,2015.0,Shooter,Warner Bros. Interactive,0.13,0.06,0.01,0.03,0.23
1286,World of Racing Stars II,GBA,2004.0,Sports,Electronic Arts,0.1,0.1,0.01,0.02,0.23
1287,Saga of Warriors: Next Gen,X360,2014.0,Sports,Nintendo,0.07,0.13,0.0,0.03,0.23
1288,Valor Skies Gold Edition,N64,2008.0,Platform,Bethesda Softworks,0.14,0.06,0.02,0.01,0.23
1289,Valor Glory,XB,2004.0,Puzzle,Square Enix,0.12,0.06,0.02,0.03,0.23
1290,Depths Legends,SNES,1994.0,Role-Playing,Square Enix,0.08,0.05,0.1,0.0,0.23
1291,Fury Honor: Revolution,Switch,2019.0,Action,Microsoft Game Studios,0.08,0.09,0.03,0.03,0.23
1292,Age of Champions: Origins,X360,2007.0,Platform,Take-Two Interactive,0.09,0.09,0.04,0.01,0.23
1293,Destiny Duty Gold Edition,PS2,2003.0,Platform,Sega,0.07,0.07,0.06,0.03,0.23
1294,World of Rebellion,PS2,2005.0,Adventure,Sony Computer Entertainment,0.11,0.05,0.04,0.03,0.23
1295,Shadows Conquest II,DS,2006.0,Strategy,Disney Interactive Studios,0.1,0.07,0.04,0.02,0.23
1296,Depths Fairways 2,XB,2005.0,Role-Playing,Ubisoft,0.07,0.05,0.07,0.04,0.23
1297,Realm of Glory III,GB,2005.0,Misc,Capcom,0.14,0.05,0.03,0.01,0.23
1298,Storm Destiny: Remastered,PSV,2019.0,Shooter,Activision,0.1,0.05,0.02,0.06,0.23
1299,Chronicles of Empires: Reborn,SNES,2001.0,Fighting,Sega,0.08,0.08,0.03,0.04,0.23
1300,World of Valor III,PSV,2016.0,Shooter,Atari,0.14,0.05,0.02,0.02,0.23
1301,Rise of Heroes: Origins,XB,2003.0,Puzzle,Namco Bandai Games,0.1,0.07,0.02,0.04,0.23
1302,World of Depths,XOne,2019.0,Strategy,Activision,0.09,0.08,0.01,0.05,0.23
1303,Battle for Shadows: Remastered,3DS,2019.0,Fighting,2K Games,0.08,0.07,0.06,0.02,0.23
1304,Titans Odyssey,PS4,,Adventure,CD Projekt,0.13,0.05,0.02,0.03,0.23
1305,Fall of Dragons: Next Gen,XB,2010.0,Adventure,Atari,0.13,0.06,0.02,0.02,0.23
1306,Conquest Storm: Revolution,PS,2004.0,Platform,Capcom,0.12,0.07,0.02,0.02,0.23
1307,Fall of Champions Gold Edition,GBA,2005.0,Action,Electronic Arts,0.09,0.08,0.04,0.02,0.23
1308,Legend of Fury,GBA,2008.0,Fighting,Capcom,0.13,0.06,0.01,0.03,0.23
1309,Legend of Legends,X360,2009.0,Shooter,THQ,0.1,0.03,0.03,0.07,0.23
1310,Fairways Glory,DS,2012.0,Sports,Konami Digital Entertainment,0.13,0.06,0.01,0.03,0.23
1311,World of Shadows: Remastered,DS,2010.0,Fighting,Microsoft Game Studios,0.09,0.06,0.05,0.03,0.23
1312,Age of Valor 2,GC,2013.0,Fighting,Epic Games,0.16,0.02,0.04,0.01,0.23
1313,Fairways Duty 3,N64,2000.0,Action,Activision,0.09,0.04,0.04,0.06,0.23
1314,Realm of Champions 2,GB,1996.0,Sports,Atari,0.08,0.12,0.02,0.01,0.23
1315,Glory Warriors: Remastered,GBA,2007.0,Simulation,Electronic Arts,0.14,0.03,0.04,0.02,0.23
1316,Kingdom of Nations Gold Edition,XB,2008.0,Adventure,Square Enix,0.11,0.06,0.03,0.03,0.23
1317,Call of Gridiron: Revolution,XOne,2013.0,Role-Playing,Epic Games,0.04,0.04,0.14,0.01,0.23
1318,Fairways Depths,X360,2009.0,Shooter,THQ,0.12,0.06,0.02,0.03,0.23
1319,Battle for Glory,N64,1999.0,Racing,Microsoft Game Studios,0.13,0.07,0.0,0.03,0.23
1320,Skies Fury: Remastered,Switch,2019.0,Role-Playing,CD Projekt,0.08,0.05,0.07,0.02,0.22
1321,Arena Arena Gold Edition,PS4,2017.0,Fighting,Konami Digital Entertainment,0.09,0.07,0.03,0.03,0.22
1322,Chronicles of Racing Stars Gold Edition,PS2,2006.0,Simulation,Atari,0.08,0.04,0.07,0.03,0.22
1323,Rebellion Frontier III,Wii,2016.0,Action,Bethesda Softworks,0.06,0.1,0.05,0.01,0.22
1324,Warriors Duty: Revolution,Wii,2013.0,Adventure,2K Games,0.1,0.06,0.03,0.03,0.22
1325,Skies Racing Stars: Remastered,Wii,2010.0,Fighting,Atari,0.12,0.06,0.04,0.0,0.22
1326,Frontier Shadows Gold Edition,PC,1997.0,Action,Epic Games,0.08,0.09,0.04,0.01,0.22
1327,Age of Heroes: Reborn,GB,2000.0,Strategy,Bethesda Softworks,0.11,0.07,0.03,0.01,0.22
1328,Shadow of Duty: Revolution,XB,2007.0,Shooter,Namco Bandai Games,0.11,0.09,0.01,0.01,0.22
1329,Depths Glory,Wii,2012.0,Racing,Konami Digital Entertainment,0.1,0.08,0.01,0.03,0.22
1330,Fall of Rebellion,PS4,2020.0,Action,Atari,0.07,0.06,0.04,0.05,0.22
1331,Gridiron Champions: Next Gen,GBA,2005.0,Sports,Epic Games,0.1,0.05,0.02,0.05,0.22
1332,Titans Warriors,XOne,2018.0,Fighting,Namco Bandai Games,0.08,0.06,0.07,0.01,0.22
1333,Fairways Glory: Origins,Wii,2013.0,Misc,Square Enix,0.11,0.06,0.01,0.04,0.22
1334,Dragons Arena 3,GC,2004.0,Misc,Microsoft Game Studios,0.07,0.11,0.04,0.0,0.22
1335,Age of Skies 2,Switch,2017.0,Role-Playing,CD Projekt,0.09,0.08,0.04,0.01,0.22
1336,Legends Nations: Remastered,3DS,2011.0,Racing,CD Projekt,0.1,0.06,0.01,0.05,0.22
1337,World of Nations: Remastered,3DS,2018.0,Platform,Take-Two Interactive,0.08,0.06,0.04,0.04,0.22
1338,Champions Nations II,PSV,2020.0,Sports,Ubisoft,0.2,0.02,0.0,0.0,0.22
1339,Shadows Heroes: Remastered,Wii,2009.0,Shooter,Atari,0.12,0.08,0.01,0.01,0.22
1340,Call of Fairways: Revolution,PS2,2000.0,Simulation,2K Games,0.08,0.07,0.02,0.05,0.22
1341,Odyssey Empires 3,Switch,2019.0,Role-Playing,Atari,0.02,0.02,0.13,0.05,0.22
1342,Racing Stars Odyssey: Revolution,N64,2000.0,Strategy,Take-Two Interactive,0.13,0.05,0.02,0.02,0.22
1343,Fury Destiny,DS,2013.0,Action,Capcom,0.14,0.05,0.01,0.02,0.22
1344,Honor Warriors: Remastered,XB,2009.0,Platform,Sony Computer Entertainment,0.12,0.06,0.03,0.01,0.22
1345,Skies Heroes 3,GBA,2008.0,Action,Disney Interactive Studios,0.05,0.08,0.04,0.05,0.22
1346,Racing Stars Heroes II,GB,2000.0,Role-Playing,Microsoft Game Studios,0.08,0.03,0.11,0.0,0.22
1347,Glory Empires,PS3,2016.0,Role-Playing,Nintendo,0.04,0.06,0.08,0.04,0.22
1348,Legend of Nations,GC,2004.0,Shooter,THQ,0.1,0.06,0.03,0.03,0.22
1349,Realm of Fury,PS2,2008.0,Puzzle,Sony Computer Entertainment,0.11,0.03,0.07,0.01,0.22
1350,Titans Odyssey: Reborn,X360,2005.0,Role-Playing,Sony Computer Entertainment,0.04,0.06,0.11,0.01,0.22
1351,Frontier Gridiron: Next Gen,PS3,2017.0,Racing,Nintendo,0.15,0.03,0.0,0.04,0.22
1352,Kingdom of Glory: Origins,WiiU,2019.0,Sports,Square Enix,0.06,0.12,0.0,0.04,0.22
1353,Chronicles of Valor II,GBA,2001.0,Strategy,Electronic Arts,0.07,0.07,0.03,0.05,0.22
1354,Gridiron Legends Gold Edition,WiiU,,Puzzle,THQ,0.08,0.06,0.02,0.06,0.22
1355,Battle for Fairways II,X360,2015.0,Platform,Electronic Arts,0.13,0.04,0.03,0.02,0.22
1356,Call of Arena,Switch,2017.0,Puzzle,CD Projekt,0.06,0.04,0.07,0.05,0.22
1357,Quest for Champions: Origins,WiiU,2015.0,Sports,Konami Digital Entertainment,0.12,0.07,0.0,0.03,0.22
1358,Empire of Fury 2,PS4,2013.0,Action,Konami Digital Entertainment,0.1,0.08,0.02,0.02,0.22
1359,Battle for Valor II,PSP,2007.0,Role-Playing,THQ,0.06,0.07,0.07,0.02,0.22
1360,Empire of Shadows 3,N64,2002.0,Role-Playing,Epic Games,0.05,0.06,0.1,0.01,0.22
1361,Tales of Depths: Reborn,PS3,2012.0,Misc,2K Games,0.09,0.08,0.03,0.02,0.22
1362,Age of Conquest Gold Edition,PC,1996.0,Simulation,Warner Bros. Interactive,0.07,0.04,0.06,0.05,0.22
1363,Arena Legends,3DS,2018.0,Strategy,THQ,0.1,0.07,0.02,0.03,0.22
1364,Realm of Racing Stars II,PC,1999.0,Adventure,Microsoft Game Studios,0.08,0.08,0.02,0.04,0.22
1365,Fairways Storm,PS4,2020.0,Action,Capcom,0.08,0.07,0.05,0.02,0.22
1366,Legend of Legends: Next Gen,3DS,2011.0,Adventure,Take-Two Interactive,0.1,0.06,0.03,0.03,0.22
1367,Quest for Fury III,GB,2004.0,Strategy,Epic Games,0.11,0.06,0.03,0.02,0.22
1368,Arena Racing Stars: Next Gen,WiiU,2014.0,Racing,Warner Bros. Interactive,0.11,0.08,0.0,0.03,0.22
1369,Storm Champions II,PC,2000.0,Platform,Capcom,0.09,0.05,0.07,0.01,0.22
1370,Fall of Nations III,PS4,2020.0,Misc,Atari,0.07,0.06,0.03,0.06,0.22
1371,Shadows Legends II,DS,2010.0,Platform,Warner Bros. Interactive,0.09,0.09,0.02,0.02,0.22
1372,Valor Legends,PSV,2013.0,Role-Playing,CD Projekt,0.06,0.04,0.1,0.02,0.22
1373,Realm of Gridiron,N64,2008.0,Adventure,2K Games,0.07,0.08,0.03,0.04,0.22
1374,Titans Titans,Wii,2015.0,Simulation,Warner Bros. Interactive,0.07,0.04,0.08,0.03,0.22
1375,Call of Arena,PSV,2019.0,Role-Playing,Microsoft Game Studios,0.07,0.05,0.08,0.02,0.22
1376,Chronicles of Storm Gold Edition,PS2,2002.0,Fighting,Capcom,0.06,0.08,0.05,0.03,0.22
1377,Realm of Nations,GB,2004.0,Adventure,Atari,0.07,0.11,0.03,0.01,0.22
1378,Shadow of Shadows,SNES,2004.0,Action,Namco Bandai Games,0.06,0.06,0.08,0.02,0.22
1379,Depths Shadows II,WiiU,2016.0,Puzzle,Nintendo,0.13,0.04,0.02,0.03,0.22
1380,Saga of Legends: Reborn,GBA,2005.0,Adventure,CD Projekt,0.06,0.06,0.03,0.07,0.22
1381,Chronicles of Duty III,Wii,2011.0,Role-Playing,Bethesda Softworks,0.06,0.06,0.08,0.02,0.22
1382,Frontier Skies: Revolution,3DS,2014.0,Sports,THQ,0.14,0.07,0.0,0.01,0.22
1383,Titans Storm: Reborn,3DS,2013.0,Racing,Epic Games,0.04,0.09,0.03,0.06,0.22
1384,Quest for Valor: Remastered,PS2,2004.0,Fighting,Take-Two Interactive,0.07,0.06,0.06,0.02,0.21
1385,Empires Nations Gold Edition,PS3,2017.0,Racing,Microsoft Game Studios,0.1,0.07,0.01,0.03,0.21
1386,Titans Conquest: Revolution,PSV,2018.0,Sports,Ubisoft,0.1,0.07,0.0,0.04,0.21
1387,Gridiron Arena: Remastered,GBA,2008.0,Shooter,Namco Bandai Games,0.12,0.06,0.01,0.02,0.21
1388,Arena Heroes,WiiU,2018.0,Misc,Disney Interactive Studios,0.07,0.07,0.04,0.03,0.21
1389,Duty Valor 2,PSP,2009.0,Puzzle,Bethesda Softworks,0.06,0.12,0.02,0.01,0.21
1390,Shadow of Warriors 3,PC,1996.0,Action,Microsoft Game Studios,0.08,0.07,0.05,0.01,0.21
1391,Fury Titans: Reborn,PS,2006.0,Platform,Sega,0.14,0.04,0.02,0.01,0.21
1392,Quest for Gridiron: Remastered,Wii,2015.0,Puzzle,Sega,0.09,0.06,0.02,0.04,0.21
1393,Saga of Rebellion II,PC,2002.0,Action,Sony Computer Entertainment,0.11,0.04,0.04,0.02,0.21
1394,Saga of Shadows II,SNES,1997.0,Misc,Namco Bandai Games,0.11,0.07,0.01,0.02,0.21
1395,Warriors Shadows,PS,2009.0,Adventure,Sega,0.12,0.04,0.02,0.03,0.21
1396,Heroes Honor Gold Edition,PSV,2011.0,Action,2K Games,0.04,0.1,0.04,0.03,0.21
1397,Conquest Depths,GBA,2007.0,Shooter,Epic Games,0.08,0.08,0.01,0.04,0.21
1398,Call of Conquest: Revolution,PSV,2012.0,Role-Playing,CD Projekt,0.07,0.03,0.05,0.06,0.21
1399,Glory Conquest: Reborn,N64,1999.0,Action,Activision,0.05,0.08,0.04,0.04,0.21
1400,Quest for Shadows: Reborn,DS,2014.0,Platform,THQ,0.1,0.04,0.03,0.04,0.21
1401,Kingdom of Gridiron Gold Edition,N64,1998.0,Fighting,Konami Digital Entertainment,0.1,0.08,0.02,0.01,0.21
1402,Destiny Skies: Origins,PS,2000.0,Platform,Square Enix,0.09,0.06,0.03,0.03,0.21
1403,Tales of Destiny 3,Switch,2020.0,Action,Capcom,0.05,0.06,0.06,0.04,0.21
1404,Skies Storm II,Wii,2011.0,Adventure,CD Projekt,0.06,0.08,0.05,0.02,0.21
1405,Skies Odyssey II,PSV,2013.0,Fighting,Sega,0.08,0.07,0.01,0.05,0.21
1406,Fury Champions II,XB,2004.0,Action,Sega,0.1,0.08,0.02,0.01,0.21
1407,Chronicles of Warriors,PSV,2015.0,Platform,Microsoft Game Studios,0.14,0.03,0.04,0.0,0.21
1408,Honor Depths II,DS,2013.0,Strategy,2K Games,0.1,0.06,0.02,0.03,0.21
1409,Gridiron Champions,PS3,2008.0,Adventure,Warner Bros. Interactive,0.1,0.05,0.02,0.04,0.21
1410,Duty Fury 2,XB,2007.0,Fighting,Square Enix,0.07,0.07,0.03,0.04,0.21
1411,Depths Glory,PS,,Puzzle,Microsoft Game Studios,0.1,0.04,0.04,0.03,0.21
1412,Quest for Heroes II,Switch,2020.0,Racing,Electronic Arts,0.15,0.05,0.0,0.01,0.21
1413,Rebellion Skies: Origins,X360,2017.0,Misc,2K Games,0.07,0.05,0.04,0.05,0.21
1414,Empire of Shadows: Revolution,XOne,2019.0,Shooter,Sega,0.11,0.06,0.01,0.03,0.21
1415,Fury Rebellion 3,XOne,2018.0,Misc,THQ,0.1,0.05,0.03,0.03,0.21
1416,Fury Warriors,X360,2017.0,Sports,Electronic Arts,0.12,0.04,0.01,0.04,0.21
1417,Honor Duty: Origins,WiiU,2019.0,Puzzle,Take-Two Interactive,0.11,0.07,0.02,0.01,0.21
1418,Shadow of Arena,PS4,2019.0,Role-Playing,CD Projekt,0.08,0.03,0.08,0.02,0.21
1419,Shadows Legends III,PS,1998.0,Racing,Capcom,0.13,0.04,0.0,0.04,0.21
1420,Empires Heroes 2,XOne,2018.0,Racing,CD Projekt,0.07,0.09,0.03,0.02,0.21
1421,Kingdom of Gridiron: Origins,PS2,2003.0,Racing,Microsoft Game Studios,0.12,0.05,0.03,0.01,0.21
1422,Tales of Fairways: Remastered,GBA,2006.0,Action,Activision,0.14,0.04,0.01,0.02,0.21
1423,Tales of Arena: Revolution,WiiU,2017.0,Adventure,Bethesda Softworks,0.08,0.1,0.01,0.02,0.21
1424,Quest for Titans: Remastered,PS2,2004.0,Action,Sega,0.07,0.09,0.02,0.03,0.21
1425,Empires Titans Gold Edition,PC,2000.0,Racing,Disney Interactive Studios,0.1,0.07,0.01,0.03,0.21
1426,Battle for Odyssey: Origins,GBA,2001.0,Adventure,Bethesda Softworks,0.14,0.04,0.02,0.01,0.21
